Date,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2010-08-29,H,0.029411764705882353,0.009523809523809525,0.07228915662650602,0.02531645569620253,1.0,0.3333333333333333,L,W,M,M,M,D,L,M,M,M,0,0,0,0,0,0,0,0,-1.0,-0.3333333333333333,0.6666666666666666,0.6666666666666666
2010-08-29,NH,0.029411764705882353,0.0380952380952381,0.012048192771084338,0.0379746835443038,1.3333333333333333,1.3333333333333333,W,D,M,M,M,W,D,M,M,M,0,0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0
2010-08-29,H,0.00980392156862745,0.009523809523809525,0.04819277108433735,0.0759493670886076,0.3333333333333333,1.0,L,D,M,M,M,W,L,M,M,M,0,0,0,0,0,0,0,0,-1.0,-1.6666666666666667,-0.6666666666666666,-0.6666666666666666
2010-08-29,H,0.0196078431372549,0.02857142857142857,0.03614457831325301,0.0,0.3333333333333333,1.3333333333333333,L,D,M,M,M,W,D,M,M,M,0,0,0,0,0,0,0,0,-0.3333333333333333,1.0,-1.0,-1.0
2010-11-09,H,0.08823529411764706,0.047619047619047616,0.024096385542168676,0.0379746835443038,1.75,1.25,W,W,D,M,M,D,W,D,M,M,0,0,0,0,0,0,0,0,1.75,0.5,0.5,0.5
2010-11-09,NH,0.00980392156862745,0.0761904761904762,0.03614457831325301,0.02531645569620253,0.25,1.75,L,D,L,M,M,W,D,W,M,M,0,0,0,0,0,0,0,0,-0.5,1.5,-1.5,-1.5
2010-11-09,H,0.0392156862745098,0.0380952380952381,0.04819277108433735,0.0379746835443038,0.75,1.25,D,D,D,M,M,D,D,W,M,M,0,0,0,0,0,0,0,0,0.0,0.25,-0.5,-0.5
2010-11-09,NH,0.029411764705882353,0.02857142857142857,0.012048192771084338,0.05063291139240506,1.0,0.75,L,W,D,M,M,L,L,W,M,M,0,0,0,0,0,0,0,0,0.5,-0.25,0.25,0.25
2010-11-09,NH,0.06862745098039216,0.05714285714285714,0.04819277108433735,0.10126582278481013,1.0,1.0,D,W,L,M,M,D,L,W,M,M,0,0,0,0,0,0,0,0,0.75,-0.5,0.0,0.0
2010-11-09,NH,0.00980392156862745,0.01904761904761905,0.08433734939759036,0.02531645569620253,0.75,1.0,L,W,L,M,M,L,W,D,M,M,0,0,0,0,0,0,0,0,-1.5,0.0,-0.25,-0.25
2010-11-09,NH,0.00980392156862745,0.13333333333333333,0.10843373493975904,0.0,0.0,2.25,L,L,L,M,M,W,W,W,M,M,0,0,0,0,0,0,0,0,-2.0,3.5,-2.25,-2.25
2010-11-09,NH,0.00980392156862745,0.02857142857142857,0.12048192771084337,0.0379746835443038,0.75,1.0,W,L,L,M,M,W,L,D,M,M,0,0,0,0,0,0,0,0,-2.25,0.0,-0.25,-0.25
2010-12-09,NH,0.058823529411764705,0.01904761904761905,0.060240963855421686,0.05063291139240506,1.25,1.0,D,W,D,M,M,W,L,D,M,M,0,0,0,0,0,0,0,0,0.25,-0.5,0.25,0.25
2010-09-13,H,0.0196078431372549,0.0380952380952381,0.07228915662650602,0.0759493670886076,0.0,1.5,L,L,L,M,M,W,L,W,M,M,0,0,0,0,0,0,0,0,-1.0,-0.5,-1.5,-1.5
2010-09-18,NH,0.049019607843137254,0.05714285714285714,0.0963855421686747,0.08860759493670886,1.2,1.0,L,W,L,W,M,L,D,W,D,M,0,0,0,0,0,0,0,0,-0.6,-0.2,0.2,0.2
2010-09-18,NH,0.0392156862745098,0.05714285714285714,0.060240963855421686,0.06329113924050633,0.8,1.2,D,L,L,W,M,W,D,D,D,M,0,0,0,0,0,0,0,0,-0.2,0.2,-0.4,-0.4
2010-09-18,NH,0.0392156862745098,0.06666666666666667,0.07228915662650602,0.0759493670886076,0.4,0.8,D,L,D,L,M,L,D,W,L,M,0,0,0,0,0,0,0,0,-0.4,0.2,-0.4,-0.4
2010-09-18,NH,0.0392156862745098,0.01904761904761905,0.08433734939759036,0.1518987341772152,0.6,0.0,W,L,L,L,M,L,L,L,L,M,0,0,0,0,0,0,0,0,-0.6,-2.0,0.6,0.6
2010-09-18,NH,0.0392156862745098,0.12380952380952381,0.04819277108433735,0.0379746835443038,1.0,2.0,D,W,L,D,M,W,W,W,D,M,0,0,0,0,0,0,0,0,0.0,2.0,-1.0,-1.0
2010-09-18,H,0.029411764705882353,0.047619047619047616,0.03614457831325301,0.06329113924050633,1.0,1.0,D,L,W,D,M,L,D,D,W,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010-09-18,H,0.0196078431372549,0.05714285714285714,0.0963855421686747,0.06329113924050633,0.8,1.2,D,L,W,L,M,D,D,W,D,M,0,0,0,0,0,0,0,0,-1.2,0.2,-0.4,-0.4
2010-09-19,H,0.16666666666666666,0.0761904761904762,0.012048192771084338,0.10126582278481013,2.4,1.4,W,W,W,W,M,W,D,L,W,M,0,0,0,0,0,0,0,0,3.2,0.0,1.0,1.0
2010-09-19,H,0.10784313725490197,0.01904761904761905,0.060240963855421686,0.05063291139240506,1.6,1.0,D,W,D,W,M,D,W,L,D,M,0,0,0,0,0,0,0,0,1.2,-0.4,0.6,0.6
